,LIBID,1992 LOCGVT,STABR,LIBNAME,1993 LOCGVT,1994 LOCGVT,1995 LOCGVT,1996 LOCGVT,1997 LOCGVT,1998 LOCGVT,1999 LOCGVT,2000 LOCGVT,2001 LOCGVT,2002 LOCGVT,2003 LOCGVT,2004 LOCGVT,2005 LOCGVT,2006 LOCGVT,2007 LOCGVT,2008 LOCGVT,2009 LOCGVT,2010 LOCGVT,2011 LOCGVT,2012 LOCGVT,2013 LOCGVT,2014 LOCGVT,2015 LOCGVT,2016 LOCGVT
121,1200066120,6739,NY,SINCLAIRVILLE FREE LIBRARY,6900,7175,6076,6271,7413,7413,8500,18800,18800,20000,20000,20500,21000,22750,23000,23250,23250,23250,23250,23250,23250,24000,25000,26000
122,1200067030,56550,NY,PATTERSON LIBRARY,58050,61350,65575,66000,67000,67000,68600,78100,75600,76600,85100,84600,89600,92100,93250,94500,96000,100500,97500,97500,92437,89900,93213,94750
123,2000091220,4050,NY,CHAMPLAIN MEMORIAL LIBRARY,4300,4900,9100,6600,6600,6600,8100,9500,11000,9500,14800,13500,14400,14800,15700,16300,16700,17200,17800,18375,18706,19441,20152,20365
124,2000091290,5000,NY,CHAZY PUBLIC LIBRARY,5000,6000,7000,7000,8000,8000,13966,14360,15894,16400,17000,17400,18600,18600,0,37700,19100,25000,35000,35000,35000,35000,37500,37500
125,2000091690,3950,NY,DANNEMORA FREE LIBRARY,5750,5800,5300,4800,7300,7300,7500,7500,7500,6500,16000,11000,11500,11500,12000,12000,12000,13000,12973,14000,14000,14500,15400,18100
126,2000094240,7250,NY,MOOERS FREE LIBRARY,5250,6225,10375,9875,9500,9500,11000,12250,13500,14250,14800,15000,15450,15750,16050,16250,16550,16850,17748,18975,19000,19500,25500,23000
127,2000095050,27500,NY,PERU FREE LIBRARY,26000,29000,30400,31250,34275,34275,38760,40500,46700,46935,50985,54300,65365,70195,73000,78400,79856,77757,81730,78000,83000,85000,85067,85000
128,2000095200,275000,NY,PLATTSBURGH PUBLIC LIBRARY,285004,315981,326200,357371,419467,419467,467082,512386,562344,598293,632191,665384,655575,664569,747135,690871,773394,817443,811000,871000,871000,811000,811000,751458
129,2000096930,5000,NY,DODGE LIBRARY,5000,5000,5000,6000,6000,6000,5000,6350,6350,6350,6350,6350,0,13000,6500,19182,19932,19932,19932,19522,19522,19522,19522,19558
130,2000152070,2000,NY,ELIZABETHTOWN LIBRARY ASSOCIATION,2000,2000,3000,3000,3500,3500,5000,6000,7000,8000,8000,8000,8250,8250,8750,8750,8750,10750,10750,10250,9250,9500,10250,10250
131,2000153350,11800,NY,KEENE PUBLIC LIBRARY,11000,9000,16806,21000,26472,26472,30207,25007,30607,31755,21917,24473,39400,42733,37302,41807,42400,43804,54303,64957,64353,62936,64850,66770
132,2000153370,10675,NY,KEESEVILLE FREE LIBRARY,11525,11925,11925,12325,12325,12325,14525,11800,22150,16125,17125,14100,27125,27100,29100,33100,38100,41100,42100,42100,41100,42100,42100,47000
133,2000153500,57300,NY,LAKE PLACID PUBLIC LIBRARY,59600,61950,63492,68478,71780,71780,89900,98590,101103,111854,117072,124311,134749,134937,134937,141366,162367,173909,182976,186119,221558,222998,227413,222490
134,2000155280,6000,NY,SHERMAN FREE LIBRARY,7500,7667,8958,8000,8000,8000,6125,13000,10000,10000,10000,8125,7500,6750,7250,8750,9000,9000,9375,9500,9500,9500,8875,11150
135,2000155945,10814,NY,SCHROON LAKE PUBLIC LIBRARY,11144,11194,11723,12315,11151,11151,8772,14325,17591,20539,21321,22331,30388,32335,34311,50152,49992,49997,53813,57343,60027,63271,63485,67770
136,2000156580,1210,NY,WELLS MEMORIAL LIBRARY,2810,2110,2210,2210,2210,2210,2410,4210,4210,4210,4210,4710,8500,8500,9000,9000,9000,9500,10000,10000,10000,10000,11500,12500
137,2000156700,1000,NY,WADHAMS FREE LIBRARY,1000,1500,1500,1500,2500,2500,2500,2500,3000,3500,3500,3500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500
138,2000157050,750,NY,WESTPORT LIBRARY ASSOCIATION,1250,1500,4000,4000,4000,4000,3000,3500,3500,4000,4000,4000,19000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
139,2000161250,4750,NY,CHATEAUGAY MEMORIAL LIBRARY,4750,4850,4850,4850,4850,4850,5300,5300,17731,19840,19407,19761,19730,19451,20049,19626,22172,29625,29625,29625,29625,29625,29625,39708
140,2000165850,27125,NY,SARANAC LAKE FREE LIBRARY,28075,29675,31350,33650,36000,36000,40996,56169,61455,64539,66452,77265,95442,108284,116384,123328,127598,129530,132153,134441,136120,142966,152688,173783
141,2400050340,5550,NY,AURORA FREE LIBRARY,5740,8550,6750,4950,7450,7450,22750,22250,24700,24250,22500,26000,26500,28500,29000,26500,27775,27500,37150,30150,41150,40950,46950,48150
142,2400051140,21200,NY,STEWART B. LANG MEMORIAL LIBRARY,3040,43983,34242,40310,27000,27000,30000,34500,34500,34500,34500,34500,39500,39500,40000,40000,39000,38000,58000,53000,58000,50000,50000,50000
143,2400055250,5450,NY,HAZARD LIBRARY ASSOCIATION,5490,6450,5950,7300,8450,8450,15000,20250,20250,21200,20200,15450,29900,24500,25000,25000,24500,16500,32500,28500,33500,34500,40500,40000
